___________________
|   x   |   f(x)  |
___________________
|0.100  |  0.509  |
|0.200  |  1.033  |
|0.300  |  1.568  |
|0.400  |  2.107  |
|0.500  |  2.647  |
|0.600  |  3.183  |
|0.700  |  3.711  |
|0.800  |  4.227  |
|0.900  |  4.727  |
|1.000  |  5.207  |
|1.100  |  5.666  |
|1.200  |  6.100  |
|1.300  |  6.508  |
|1.400  |  6.887  |
|1.500  |  7.237  |
|1.600  |  7.558  |
|1.700  |  7.848  |
|1.800  |  8.109  |
|1.900  |  8.342  |
|2.000  |  8.546  |
|2.100  |  8.726  |
___________________
|   x   |   f(x)  |
___________________
|0.100  |  0.509  |
|0.300  |  1.568  |
|0.500  |  2.647  |
|0.700  |  3.711  |
|0.900  |  4.727  |
|1.100  |  5.666  |
|1.300  |  6.508  |
|1.500  |  7.237  |
|1.700  |  7.848  |
|1.900  |  8.342  |
|2.100  |  8.726  |
